line_code,direction,service_date,hour,N_arc,r1_arc,r2_arc,r3_arc,N_time,r1_time,r2_time,r3_time,N,boardings,lambda_boardings_per_bus,day_category,hour_of_day,is_peak,period,rain_mm,temp_c,analysis_eligible,weekend,null_mean,null_sd,r_excess,z,ppc,rayleigh_z,pit_probit
33,0,2026-03-11,2026-03-11 00:00:00,2,0.9985837266560084,0.9943389182844036,0.987277598503079,2,1.0,1.0,1.0,2,9,4.5,weekday,0,False,off_peak,0.0,23.4,True,weekday,0.6359800669726218,0.3055077811024832,0.996109352220871,1.1868884595176659,0.9943389182844034,1.9943389182844034,1.8563758816774028
39A,1,2026-03-11,2026-03-11 05:00:00,4,0.8648335204014673,0.5749631055984991,0.5557983408915446,4,0.7881905655054567,0.5000752198091051,0.7976624540339543,4,622,155.5,weekday,5,False,off_peak,0.0,22.6,True,weekday,0.44805277315722414,0.21797557269686318,0.7551097767594449,1.9120525391340832,0.6639160240133269,2.991748072039981,1.762410297862389
39A,1,2026-03-11,2026-03-11 06:00:00,11,0.4804372153477501,0.4121625680356243,0.353310809646532,11,0.5294232134023856,0.6430816982443391,0.4525085290706185,11,396,36.0,weekday,6,False,off_peak,0.0,22.7,True,weekday,0.2673922694492119,0.13466594596805675,0.29080357333708046,1.5820253915497924,0.15390190968021042,2.5390190968021042,1.4650766736657732
39A,1,2026-03-11,2026-03-11 08:00:00,7,0.4883560050484902,0.329221034239084,0.3619409399381955,7,0.6351785006654382,0.5278134826808418,0.3887854665824374,7,437,62.42857142857143,weekday,8,True,peak,0.0,23.4,True,weekday,0.3357564871343161,0.16817807791298353,0.22973429918167845,0.9073686642627115,0.11157351894474114,1.6694411136684468,0.8819571128039098
39A,1,2026-03-11,2026-03-11 09:00:00,8,0.4945853495230063,0.642528454624152,0.455272491712941,8,0.4571894036820189,0.6555989428402175,0.5191591003506758,8,561,70.125,weekday,9,False,off_peak,0.0,24.0,True,weekday,0.3152126391873147,0.16049652599261358,0.26193928305396497,1.1176111708732361,0.13670247767176494,1.9569173437023546,1.0563682624700168
39A,1,2026-03-11,2026-03-11 16:00:00,9,0.8262388950781279,0.4602627663029108,0.3784122435781633,9,0.8001585064487433,0.5207623606820748,0.6476253793938272,9,408,45.333333333333336,weekday,16,False,off_peak,0.6,22.9,True,weekday,0.29708997453612646,0.14952147651880487,0.7527975151482561,3.538949272450851,0.6430045507074162,6.14403640565933,3.1946510537632724
39A,1,2026-03-11,2026-03-11 18:00:00,5,0.3711747577960821,0.4434783357397899,0.1633285978347453,5,0.5590556901379685,0.1924986966485639,0.1932901134511451,5,159,31.8,weekday,18,True,peak,0.2,22.5,True,weekday,0.4004091764520222,0.1974687348710285,-0.048757281645756864,-0.14804580925194943,-0.07778662396877473,0.6888535041249011,-0.05919097242249313
39A,1,2026-03-11,2026-03-11 19:00:00,9,0.6790761075211335,0.2374807268301032,0.2843671576796978,9,0.7450219067681314,0.1985141084870615,0.2946370165342676,9,103,11.444444444444445,weekday,19,False,off_peak,0.2,22.4,True,weekday,0.29708997453612646,0.14952147651880487,0.5434353176751486,2.55472418998595,0.39378740478181073,4.150299238254486,2.3320131383270986
39A,1,2026-03-11,2026-03-11 17:00:00,9,0.4796165216854509,0.6135546771782111,0.469954091025645,9,0.5551031718039028,0.7528970596850367,0.473742509654977,9,162,18.0,weekday,17,True,peak,0.0,22.8,True,weekday,0.29708997453612646,0.14952147651880487,0.2596727042395918,1.2207379929556046,0.1337860088578569,2.0702880708628553,1.1522946857354697
39A,1,2026-03-11,2026-03-11 20:00:00,8,0.1766785708873608,0.2554709408478509,0.2662593122656624,8,0.3681803546090289,0.1012878523962802,0.3480951993696679,8,49,6.125,weekday,20,False,off_peak,0.4,22.2,True,weekday,0.3152126391873147,0.16049652599261358,-0.20230231489019562,-0.8631592954624422,-0.10718249438765694,0.24972253928640142,-0.7962271839132066
