pair_id,line_a,line_b,shared_hours,offtrunk_hours,speed_hours,mean_segment_speed_mps,mean_N_shared_a,mean_N_shared_b,raw_shared_corr,raw_offtrunk_corr,raw_shared_minus_off,speed_controlled_shared_corr,speed_controlled_offtrunk_corr,speed_controlled_shared_minus_off,speed_gap_retention,zero_lag_corr,best_nonzero_lag_hours,best_nonzero_lag_corr,nonzero_lag_perm_p,significant_nonzero_lag,te_a_to_b,te_b_to_a,te_net_a_minus_b
30__31,30,31,107,202,107,2.210922979005638,19.093457943925234,3.4766355140186915,-0.02738915717460366,-0.1412902140360292,0.11390105686142554,-0.04652826216562535,0.11033604854950246,-0.1568643107151278,-1.3771980264061312,-0.02738915717460366,1.0,0.17092971453924963,0.464,False,0.05646284155426324,0.07633844567120793,-0.019875604116944688
30__33,30,33,75,118,75,3.0204111299310976,7.306666666666667,4.493333333333333,0.23833314828057525,-0.029804586216698747,0.268137734497274,0.23803288167690687,-0.09795532763711955,0.3359882093140264,1.2530433657312867,0.23833314828057525,-4.0,0.09053513093895546,0.992,False,0.13702673721046854,0.15104429513081344,-0.014017557920344897
30__34A,30,34A,101,174,101,2.458647143694744,14.772277227722773,3.9504950495049505,0.0983838536574054,0.0349411986818362,0.0634426549755692,0.10046062698781427,0.1560132339562513,-0.05555260696843703,-0.875634964990502,0.0983838536574054,-3.0,-0.19844416956021582,0.36,False,0.031660711536940736,0.12666130758788785,-0.09500059605094711
30__35,30,35,40,126,40,2.53471116660022,17.55,2.725,0.0673769532910707,0.0880278171925035,-0.020650863901432795,0.07384461534506295,0.07393555490569179,-9.093956062883324e-05,0.004403668585628695,0.0673769532910707,-1.0,-0.3020242101909436,0.42,False,0.18952451183033622,0.19064089015549265,-0.0011163783251564308
30__36,30,36,100,210,100,2.5787729483834654,15.51,3.06,0.02266163318248071,-0.08885755477920791,0.11151918796168862,0.018162268511204272,0.13605322780448298,-0.11789095929327871,-1.057136098711363,0.02266163318248071,-1.0,-0.1395467754533856,0.746,False,0.03988148246760733,0.06682410626697452,-0.02694262379936719
30__38A,30,38A,41,129,41,2.6671969284272823,13.829268292682928,2.1951219512195124,-0.0796102971769253,-0.03727440464335749,-0.042335892533567815,-0.11883641256673784,-0.031443782849517196,-0.08739262971722064,2.064268035637318,-0.0796102971769253,-3.0,0.22630005951639856,0.746,False,0.09404446257122648,0.16263407970879276,-0.06858961713756628
30__39A,30,39A,137,238,137,2.6121767048084785,19.401459854014597,3.3284671532846715,0.0018286163715943394,0.029107803071871562,-0.027279186700277222,0.004369368893724684,0.08224488331764783,-0.07787551442392314,2.854759391456921,0.0018286163715943394,-2.0,0.11576048734383086,0.824,False,0.03913768823672069,0.05571668385640605,-0.016578995619685365
30__44,30,44,91,199,91,2.569031777504027,14.89010989010989,2.32967032967033,0.08949786140201499,0.14140217711529757,-0.05190431571328258,0.08329764556848028,-0.07651397648320968,0.15981162205168997,-3.0789659752858154,0.08949786140201499,1.0,0.17387956252003833,0.566,False,0.08791605466713032,0.11190383200870335,-0.023987777341573036
30__45,30,45,181,233,181,2.5348310383130497,13.298342541436464,4.9779005524861875,0.04330509712623057,-0.09870613058961757,0.14201122771584812,0.04580929859559658,0.09762942917976059,-0.05182013058416401,-0.3649016448745271,0.04330509712623057,-3.0,0.2167937980110672,0.036,True,0.05272459790379127,0.04024253852153522,0.01248205938225605
30__46,30,46,22,102,22,2.680114365130205,6.363636363636363,2.3636363636363638,0.13337194013198017,-0.05503769923524494,0.1884096393672251,0.17020221263200508,-0.658888032121788,0.8290902447537931,4.4004661732716945,0.13337194013198017,2.0,0.5259700266761583,0.226,False,0.37254866950913923,0.5240538249792597,-0.15150515547012045
