lam,r,cells,stratum,N_mid,x_scaled,y_scaled
1.0,0.12586170404419456,175,N2-3,3.0,-36.566960720964715,0.0046615446569069395
3.3333333333333335,0.029019933972274547,159,N2-3,3.0,-35.76521067146731,0.001074812383795056
5.5,0.14477036388244555,172,N2-3,3.0,-35.02072848264829,0.005361865401073245
9.333333333333334,-0.06476627914015737,160,N2-3,3.0,-33.70356768704541,-0.0023987511115178624
17.416666666666664,0.030994990704602387,166,N2-3,3.0,-30.926076444143682,0.0011479626341240844
28.0,0.10143590854576995,162,N2-3,3.0,-27.289567291066156,0.0037568855522089623
42.333333333333336,0.05403226239756437,163,N2-3,3.0,-22.364531272724943,0.0020011949305208674
52.333333333333336,-0.05738839112035232,162,N2-3,3.0,-18.928459632021777,-0.0021254959959991376
70.5,0.030369448215199647,165,N2-3,3.0,-12.686262818077687,0.0011247943934643227
100.33333333333331,0.03441994430648008,165,N2-3,3.0,-2.4353157566465713,0.0012748127692325448
167.75,0.17115510658426852,166,N2-3,3.0,20.729533887760635,0.006339078106872619
329.58333333333337,0.3651608406108416,164,N2-3,3.0,76.3366266064736,0.013524475760024725
2.25,0.2251134060906381,193,N4-5,4.0,-27.31939037842528,0.003517397029844224
7.5,0.1577240625085541,183,N4-5,4.0,-25.95563965956984,0.002464438518509115
15.0,0.13606236386583162,190,N4-5,4.0,-24.007424346919215,0.0021259744714740175
24.6,0.1355168122344274,189,N4-5,4.0,-21.51370874672642,0.0021174502270887
32.5,0.11145359694854144,186,N4-5,4.0,-19.46158861740109,0.0017414624818675264
38.4,0.119363483816584,188,N4-5,4.0,-17.928992571449264,0.0018650544662776177
44.5,0.09244643352292341,188,N4-5,4.0,-16.34444411716009,0.0014444755483034085
50.75,0.05325814381953024,186,N4-5,4.0,-14.720931356617902,0.0008321585112989981
60.4,0.0884947171622083,185,N4-5,4.0,-12.214227654340766,0.0013827299791196272
81.8,0.09242835024342667,188,N4-5,4.0,-6.655319962244314,0.0014441929970564781
109.0,0.06453701906936998,189,N4-5,4.0,0.4102075716352877,0.0010083909400677958
157.575,0.1498362682904126,186,N4-5,4.0,13.028148746569169,0.0023411917317595846
3.8333333333333335,0.2488134926311728,226,N6-8,7.0,-15.615663479488086,0.0007254037858798767
11.267857142857142,0.17223685074904674,226,N6-8,7.0,-14.494919934168763,0.0005021482648715989
22.75,0.18287550584985654,229,N6-8,7.0,-12.764003762094326,0.0005331647527846455
32.29166666666667,0.22059445958908688,222,N6-8,7.0,-11.325611525787782,0.0006431325505616927
39.166666666666664,0.2016620619096077,226,N6-8,7.0,-10.289215372990492,0.0005879360545547999
44.5,0.20804990533722026,226,N6-8,7.0,-9.485223205971986,0.0006065595052246028
51.333333333333336,0.17037528673928629,227,N6-8,7.0,-8.455108241979525,0.0004967209644223436
58.333333333333336,0.16431176744795217,224,N6-8,7.0,-7.399868522767739,0.00047904306519278077
66.79166666666666,0.13270262351574502,226,N6-8,7.0,-6.124787195386831,0.00038688812442019875
77.5,0.1598815549934299,227,N6-8,7.0,-4.5105216725449875,0.0004661269935891944
91.57142857142856,0.1383167110246877,224,N6-8,7.0,-2.3892744818845593,0.00040325572687689015
119.85714285714285,0.1517854770655232,226,N6-8,7.0,1.8747554039100118,0.0004425232672897219
5.763888888888889,0.2426671052803145,152,N9-12,10.0,-10.833488300115407,0.0002426671121188648
15.3,0.21820085366398384,151,N9-12,10.0,-9.817233593949279,0.0002182008598130559
22.7,0.21115942105353697,151,N9-12,10.0,-9.028622310166416,0.0002111594270041759
32.55555555555556,0.21920245218092277,151,N9-12,10.0,-7.978324699482633,0.00021920245835822065
39.0,0.2281350316864687,151,N9-12,10.0,-7.291546103996057,0.00022813503811549372
43.5,0.21931873962413168,153,N9-12,10.0,-6.811985188182154,0.00021931874580470662
47.77777777777778,0.2212176153430009,149,N9-12,10.0,-6.356106292902272,0.00022121762157708769
52.333333333333336,0.210502807765168,151,N9-12,10.0,-5.870624871954863,0.00021050281369730306
57.333333333333336,0.23691001867633094,151,N9-12,10.0,-5.337779409939416,0.000236910025352642
64.73888888888888,0.24479405537491042,150,N9-12,10.0,-4.548576075643204,0.00024479406227339987
75.22222222222223,0.22314141924133715,153,N9-12,10.0,-3.4313767569508147,0.00022314142552963824
94.87777777777778,0.21433355129736276,150,N9-12,10.0,-1.336702040716756,0.00021433355733745118
4.333333333333333,0.18044690564842844,71,N13-40,15.0,-7.406476343443185,5.346575159378148e-05
9.469040247678016,0.27757519266621933,72,N13-40,15.0,-7.03749376274199,8.224450425657587e-05
14.307692307692308,0.23403953698298527,69,N13-40,15.0,-6.689853534435262,6.934505029327392e-05
20.700549450549453,0.24906197524708412,72,N13-40,15.0,-6.2305491064436795,7.379614325978954e-05
30.39393939393939,0.25370141244327005,69,N13-40,15.0,-5.534112939678619,7.517079136347891e-05
34.35087719298246,0.27572001810285574,72,N13-40,15.0,-5.249820797405675,8.169482288624995e-05
36.834841628959275,0.24944605408553805,70,N13-40,15.0,-5.0713566398431205,7.390994440088096e-05
40.607692307692304,0.33946574290668463,70,N13-40,15.0,-4.800290513357045,0.00010058244567634325
44.44,0.33626044566969465,71,N13-40,15.0,-4.52495260838449,9.96327279450177e-05
48.94444444444444,0.33129431589155106,71,N13-40,15.0,-4.201324028433029,9.816128203605861e-05
55.15555555555556,0.3043932357282965,70,N13-40,15.0,-3.7550774172024735,9.019059135314251e-05
72.76923076923077,0.2992433474811379,71,N13-40,15.0,-2.489596453360548,8.866469848859664e-05
