lam,r,cells,stratum,N_mid,x_scaled,y_scaled
2.5,-0.18427440620481061,337,N2-3,2.0,-381.52744435261405,-1.4741952496258532
8.333333333333334,-0.23643146329991463,336,N2-3,2.0,-350.77383436527407,-1.8914517063831102
17.6,-0.2621006995730425,335,N2-3,2.0,-301.9195282139569,-2.0968055965663734
27.666666666666668,-0.4346954448514466,336,N2-3,2.0,-248.84758412151874,-3.4775635587817755
36.0,-0.4345317185148786,336,N2-3,2.0,-204.91385556817596,-3.4762537480892424
41.666666666666664,-0.3704754778445529,340,N2-3,2.0,-175.0389201519029,-2.963803822731028
47.27922077922078,-0.3448636913176408,332,N2-3,2.0,-145.44926868727484,-2.7589095305174864
54.0,-0.29467932617310344,340,N2-3,2.0,-110.01700189295552,-2.3574346093646277
63.666666666666664,-0.2883057718606501,331,N2-3,2.0,-59.053876771077874,-2.306446174865438
78.82857142857142,-0.2157100859144843,336,N2-3,2.0,20.880404208261236,-1.725680687301088
100.0,-0.25450014705308405,336,N2-3,2.0,132.49717972149676,-2.0360011764072268
141.625,-0.2942839739873312,336,N2-3,2.0,351.94615384544403,-2.3542717918784772
5.0,-0.045315892729459954,174,N4-5,4.0,-1941.9445709350443,-2.9002171346357364
14.40909090909091,-0.04470132535360848,174,N4-5,4.0,-1680.4237435846749,-2.860884822581916
22.4,-0.14178838876681038,174,N4-5,4.0,-1458.320548182767,-9.074456880920355
31.645833333333336,-0.13540236827600113,174,N4-5,4.0,-1201.3373809204813,-8.665751569515567
38.44949494949495,-0.1808782656254554,176,N4-5,4.0,-1012.2331165381055,-11.576208999830763
43.5,-0.1609730860755978,173,N4-5,4.0,-871.8569343854649,-10.302277508661708
49.25,-0.12992312291008953,174,N4-5,4.0,-712.0386510046835,-8.315079866103234
55.166666666666664,-0.16808346620297432,173,N4-5,4.0,-547.5879536128651,-10.757341836806008
62.5,-0.0999208002622737,173,N4-5,4.0,-343.76173712723084,-6.394931216675928
72.0,-0.11271910160925139,174,N4-5,4.0,-79.71413849811384,-7.214022502868462
84.42727272727274,-0.12237355022120033,174,N4-5,4.0,265.69549530667393,-7.831907214022606
111.625,-0.05939163557178099,174,N4-5,4.0,1021.6422926259663,-3.8010646765288447
4.444444444444445,0.06404658978624087,85,N6-8,6.0,-5176.155188271068,13.834063393521614
11.222222222222221,0.035649863819909415,84,N6-8,6.0,-4677.986113290152,7.7003705849298765
16.03846153846154,-0.020085178297382406,84,N6-8,6.0,-4323.990812216071,-4.338398512138507
26.729166666666664,-0.07193965389572872,84,N6-8,6.0,-3538.220186617627,-15.538965241133228
34.14285714285714,-0.0581865584467583,84,N6-8,6.0,-2993.3113023476644,-12.568296624221416
38.5,-0.05309543064332097,85,N6-8,6.0,-2673.0597541456473,-11.468613018703309
43.121428571428574,-0.024210998238698028,84,N6-8,6.0,-2333.3831120362943,-5.229575619442943
47.888888888888886,-0.012654682346369815,84,N6-8,6.0,-1982.9730847048706,-2.7334113867553373
52.911538461538456,-0.08379704251645032,84,N6-8,6.0,-1613.806556441901,-18.100161183152363
61.10795454545455,-0.014556046401724124,84,N6-8,6.0,-1011.3670618820878,-3.1441060227027715
73.38636363636363,-0.004419292758878274,84,N6-8,6.0,-108.89963087390778,-0.9545672358965642
98.0,0.11117590779949975,85,N6-8,6.0,1700.2113876950145,24.013996084160055
5.545833333333333,0.2128008392751894,30,N9-12,10.0,-17347.43932623607,212.80083926913227
10.236956521739131,0.1690460851951259,30,N9-12,10.0,-16173.514772867007,169.04608519031422
15.933333333333334,0.08125889308262957,29,N9-12,10.0,-14748.031719917139,81.25889308031664
25.733333333333334,0.1628796213014831,30,N9-12,10.0,-12295.642353666786,162.87962129684692
36.333333333333336,0.08822509297194522,29,N9-12,10.0,-9643.057937110283,88.225092969434
41.61309523809524,0.10426620644183886,30,N9-12,10.0,-8321.830186949896,104.26620643887105
45.85551948051948,0.15988017663878004,30,N9-12,10.0,-7260.189768659699,159.88017663422926
50.8,0.08943334284976735,29,N9-12,10.0,-6022.864110740717,89.43334284722174
55.19090909090909,0.009053937119894644,30,N9-12,10.0,-4924.066277810364,9.053937119636934
60.81818181818182,0.10998434967290628,29,N9-12,10.0,-3515.8760944068677,109.98434966977571
70.4025974025974,0.07344632803491798,30,N9-12,10.0,-1117.4353943104488,73.44632803282742
93.7991452991453,0.08201727430865205,30,N9-12,10.0,4737.405959614155,82.01727430631753
