rank_by_boardings,line_code,ticket_codes,boardings,has_direction_0_geometry,has_direction_1_geometry,candidate,selected
1,30,30,279192,True,True,True,True
2,47,47,274515,True,True,True,False
3,48,48,197406,True,True,True,True
4,33,33,193355,True,True,True,True
5,49.2,49.2,187719,True,True,True,True
6,46,46,183131,True,True,True,True
7,67,67,167373,True,True,True,True
8,49.1,49.1,156781,True,True,True,True
9,45,45,156314,True,True,True,True
10,36,36,152287,True,True,True,True
11,OC3,OC3,149502,True,True,True,True
12,39A,39A,149346,True,True,True,True
13,35,35,143018,True,True,True,True
14,62,"62,62B",140680,True,True,True,True
15,53,53,129745,True,True,True,False
16,38A,38A,126653,True,True,True,True
17,OC2,OC2,121233,True,True,True,True
18,61,61,113313,True,True,True,True
19,OC1,OC1,109278,True,True,True,True
20,31,31,93399,True,True,True,True
21,44,44,89401,True,True,True,True
22,34A,34A,86343,True,True,True,True
23,55A,55A,55334,True,True,True,False
24,52,52,54670,True,True,True,False
25,40,40,43941,True,True,True,False
26,37,37,43320,True,True,True,False
27,32,32,42991,True,True,True,False
28,41JB,41JB,37955,True,True,True,False
29,41BC,41BC,34517,True,True,True,False
30,47B,47B,31812,True,True,True,False
31,42SL,42SL,28914,False,False,False,False
32,21,21,28480,True,True,True,False
33,15,15,27915,True,True,True,False
34,24.A,24.A,24872,False,False,False,False
35,22,22,23004,True,True,False,False
36,48SP,48SP,22753,True,True,False,False
37,34,34,22389,False,False,False,False
38,026,026,21447,False,False,False,False
39,580.M,580.M,21255,False,False,False,False
40,42T,42T,19601,True,True,False,False
41,47A,47A,17731,True,True,False,False
42,60,60,16448,True,True,False,False
43,52A,52A,15621,True,True,False,False
44,57,57,15541,True,False,False,False
45,33F,33F,15393,False,False,False,False
46,26A,26A,13870,True,True,False,False
47,46P,46P,12122,False,False,False,False
48,54,54,7795,True,True,False,False
49,17J,17J,7360,False,False,False,False
50,17,17,3227,False,False,False,False
51,OC3A,OC3A,3212,True,True,False,False
52,48B,48B,2611,True,False,False,False
53,28,28,2580,True,True,False,False
54,43.2,43.2,2363,True,True,False,False
55,56,56,1362,False,False,False,False
56,66C,66C,1220,True,True,False,False
57,3,3,151,False,False,False,False
