N,draws,null_mean,null_sd,null_q025,null_q975,null_kind,phase_def,line_code,direction
1,20000,1.0,7.899182684093225e-17,0.9999999999999999,1.0000000000000002,uniform,arc,,
2,20000,0.6359800669726218,0.3055077811024832,0.04348159799232798,0.99906012476031,uniform,arc,,
3,20000,0.527185586511236,0.23912845084327258,0.12404421774222014,0.9696987292941784,uniform,arc,,
4,20000,0.44805277315722414,0.21797557269686318,0.06978839627698534,0.9008870177678081,uniform,arc,,
5,20000,0.4004091764520222,0.1974687348710285,0.07361714126702992,0.8215955781586248,uniform,arc,,
6,20000,0.36689931083094657,0.18172384994675964,0.06554466546245234,0.758662598217493,uniform,arc,,
7,20000,0.3357564871343161,0.16817807791298353,0.061769823221027864,0.6951016289606728,uniform,arc,,
8,20000,0.3152126391873147,0.16049652599261358,0.055317209590494874,0.6570149256739598,uniform,arc,,
9,20000,0.29708997453612646,0.14952147651880487,0.05471534967475747,0.6184295385565906,uniform,arc,,
10,20000,0.2809039442267921,0.1422930711897375,0.050547587384353304,0.5915389793330869,uniform,arc,,
11,20000,0.2673922694492119,0.13466594596805675,0.050744585813656276,0.5598292237416127,uniform,arc,,
12,20000,0.2572518923221997,0.13141110844566523,0.046287635860696966,0.5443045395810544,uniform,arc,,
13,20000,0.24546306234414839,0.1257683161325528,0.04344203583415145,0.5194148665538478,uniform,arc,,
14,20000,0.23678542787239962,0.1212978379503608,0.04354092011504663,0.5036269281470804,uniform,arc,,
15,20000,0.22897657700189925,0.1174994940093948,0.0416579014243267,0.4882610534579302,uniform,arc,,
16,20000,0.22230682525307902,0.11395064898562776,0.04098942183658431,0.4732142995852006,uniform,arc,,
17,20000,0.21521895116549258,0.11013095249365518,0.03890151587257105,0.4585544140065264,uniform,arc,,
18,20000,0.2093442671146911,0.10772005298135762,0.03811067082798757,0.4442953312223421,uniform,arc,,
19,20000,0.2029744966323452,0.10503124143443551,0.0350416389852367,0.4364610207709478,uniform,arc,,
20,20000,0.1976953684419692,0.10158350849472376,0.03591968314484765,0.42095165790507266,uniform,arc,,
21,20000,0.19349377351601202,0.0999867917858254,0.035157255639685164,0.4156350041653805,uniform,arc,,
22,20000,0.18931061478484748,0.09693812883718032,0.03497147998415716,0.40360723928865194,uniform,arc,,
23,20000,0.18513321039230995,0.09561147093056922,0.03268940394433994,0.3985259754551433,uniform,arc,,
