draw,lambda_c,aic
0,92.2,10296.120595487599
1,80.0,10302.213978739343
2,135.73999999999995,10819.243364361733
3,1.0,10361.925913273937
4,92.2,10017.042823402504
5,103.83333333333333,10035.993867806026
6,135.73999999999995,10089.88120576227
7,1.0,9840.9636219146
8,135.73999999999995,10319.918897377223
9,103.83333333333333,10083.60093346607
10,135.73999999999995,10362.782551787966
11,1.0,10026.43272764975
12,135.73999999999995,10451.545894568842
13,135.73999999999995,10520.69922994187
14,135.73999999999995,10399.350175991207
15,92.2,10254.73106942971
16,122.5,10104.27998789981
17,76.27272727272727,10011.812736624677
18,135.73999999999995,10382.751765793793
19,122.5,9619.161180747973
20,122.5,9995.829849182965
21,135.73999999999995,10292.892994599879
22,135.73999999999995,10540.176059181722
23,122.5,10595.625632290268
24,135.73999999999995,10325.081202195683
25,135.73999999999995,10177.923344093319
26,97.83333333333333,10184.607256629288
27,103.83333333333333,10339.666520620987
28,92.2,10122.425887302974
29,135.73999999999995,10306.576779445999
30,87.0,10561.00904877918
31,135.73999999999995,10567.97127805305
32,135.73999999999995,10322.970082905178
33,135.73999999999995,10312.249976902556
34,135.73999999999995,10500.262694977917
35,92.2,9972.21866324652
36,103.83333333333333,10365.252881399552
37,135.73999999999995,10004.098627422241
38,92.2,10058.424174499394
39,122.5,10467.204860993164
40,135.73999999999995,10460.365992554258
41,135.73999999999995,10052.068113785119
42,103.83333333333333,10350.765426221496
43,103.83333333333333,10544.954099430975
44,135.73999999999995,10301.381259141184
45,103.83333333333333,10151.48070069854
46,103.83333333333333,10556.176043618834
47,87.0,10262.782313707314
48,135.73999999999995,10101.64600719699
49,135.73999999999995,10251.709476064832
50,135.73999999999995,9856.460578798744
51,92.2,10030.681595320095
52,103.83333333333333,10382.09344709
53,135.73999999999995,10193.772066429785
54,135.73999999999995,10465.861651468364
55,92.2,10258.150800004993
56,135.73999999999995,10338.083900504726
57,135.73999999999995,9944.764116410824
58,135.73999999999995,10475.97296719697
59,103.83333333333333,10494.423879161599
60,135.73999999999995,10368.862912792107
61,135.73999999999995,10408.985814929156
62,92.2,9905.062279100955
63,135.73999999999995,10048.63668046404
64,135.73999999999995,10217.264611659706
65,135.73999999999995,10133.140264909433
66,135.73999999999995,10804.713789272897
67,103.83333333333333,10504.387144888664
68,135.73999999999995,10454.916816856903
69,135.73999999999995,10322.522860397972
70,135.73999999999995,10295.893208858559
71,97.83333333333333,10518.250011180824
72,135.73999999999995,10403.435187321258
73,135.73999999999995,10090.00197813907
74,135.73999999999995,10138.960247334233
75,135.73999999999995,10157.24731477047
76,112.18999999999991,10171.495918376242
77,135.73999999999995,10050.26754008219
78,92.2,10272.091733660598
79,135.73999999999995,10160.27791580885
80,103.83333333333333,10258.092831669812
81,135.73999999999995,10708.761011445864
82,97.83333333333333,10426.131264595375
83,1.0,10319.154149736736
84,135.73999999999995,10523.173190671223
85,83.14285714285714,10287.956705691735
86,97.83333333333333,10521.000758305305
87,122.5,10525.984127332833
88,135.73999999999995,10089.37485052124
89,135.73999999999995,10698.521117151748
90,122.5,10224.584861504874
91,97.83333333333333,10160.208578222771
92,97.83333333333333,10318.209338741124
93,103.83333333333333,10119.105948476621
94,76.27272727272727,10030.66557631043
95,135.73999999999995,10443.994264428375
96,135.73999999999995,10371.675139510999
97,135.73999999999995,10314.033642242171
98,135.73999999999995,9942.950584387203
99,97.83333333333333,10006.948825130607
100,135.73999999999995,10471.508074039506
101,135.73999999999995,10054.953911783361
102,135.73999999999995,9995.107051623916
103,135.73999999999995,10139.303966106847
104,135.73999999999995,10342.25763344536
105,135.73999999999995,10493.26556824643
106,135.73999999999995,9862.212641766771
107,92.2,10148.46786767726
108,103.83333333333333,10122.550535520466
109,122.5,10550.983815582518
110,135.73999999999995,10106.915982263574
111,135.73999999999995,10810.287947976398
112,135.73999999999995,10174.001847536932
113,135.73999999999995,10566.566879725631
114,135.73999999999995,10112.522505885707
115,97.83333333333333,10249.240074411056
116,97.83333333333333,10325.27974751652
117,135.73999999999995,10427.460758457406
118,135.73999999999995,10299.519936812561
119,135.73999999999995,10301.375006072183
120,1.0,10555.109064664373
121,103.83333333333333,10798.926577726917
122,135.73999999999995,10123.319560971126
123,135.73999999999995,10219.712664705961
