trim,phase_def,n_cells,median_N,mean_r1,mean_r_excess,mean_ppc,frac_cells_above_chance,weekend_marginal,weekend_marginal_lo,weekend_marginal_hi,weekend_n_matched,weekend_n_matched_lo,weekend_n_matched_hi,corr_lambda_r_excess
0.0,arc,10132,6.0,0.4999588274588262,0.15510461221186228,0.09899369790621186,0.631267272009475,-0.0692009536093875,-0.08830205897638757,-0.05203589420298248,0.012644862969083043,-0.008400253458406275,0.03048478127965845,0.07147099241835722
0.0,time,10132,6.0,0.5657788754140126,0.2685978740342101,0.19855520681028904,0.7298657718120806,-0.040839444550421905,-0.05896850705243337,-0.02237435399372776,0.03270479375850303,0.010320026802730484,0.05264233731878709,0.04640733151334272
0.02,arc,9149,4.0,0.39450807032465846,-0.12010150723172391,-0.09442820824095886,0.33238605312055963,-0.15354079515369656,-0.17744441901068977,-0.1319159063835591,-0.023774323707516972,-0.04580394775796451,-0.004072493512598799,0.03289671535351165
0.02,time,9149,4.0,0.4480225491303085,-0.024383277003912095,-0.017682723800755386,0.42474587386599627,-0.11347508084413496,-0.13895916408317488,-0.0897275908074825,0.0243495385546595,-0.00045050686575575695,0.045764054504051986,-0.004164925174363713
0.05,arc,8454,4.0,0.37087037743648943,-0.2226033548244269,-0.16663125312195934,0.24461793233972084,-0.19590994060642625,-0.22115687880502413,-0.17039631451119086,-0.07017601928939954,-0.09516644820984635,-0.04829754225932922,0.007120551250298353
0.05,time,8454,4.0,0.39578406128442617,-0.17654900153805073,-0.1281756865328131,0.29015850484977523,-0.15186454201898789,-0.1784414149863307,-0.12452292455660678,-0.009241351379867058,-0.03771702490731597,0.01376733430557336,-0.030202920447862814
0.1,arc,7738,3.0,0.4161494102955879,-0.18873809820566287,-0.15122606703733701,0.2989144481778237,-0.2707450072907859,-0.2979703735726817,-0.2405061784953385,-0.15863477446596427,-0.18464301424427082,-0.13258467170635996,-0.010651228949293679
0.1,time,7738,3.0,0.39682675229590375,-0.22555440225222637,-0.16940429694412698,0.25394158697337815,-0.21914418051413423,-0.24951029116655216,-0.18769481767257373,-0.09356855645526696,-0.12347863502844951,-0.06703286864882282,-0.03771854222866548
0.15,arc,7068,3.0,0.49534111665871866,-0.06199646441995028,-0.06876790658034479,0.41850594227504245,-0.2799619987351838,-0.31278025544016635,-0.24646556138173012,-0.17804239501852256,-0.20718587669590952,-0.14829688271342803,-0.011742617650354087
0.15,time,7068,3.0,0.448105996172481,-0.15778451297401755,-0.12981332909405688,0.31989247311827956,-0.2511145740109374,-0.2845048248211726,-0.21809723155423627,-0.13152332409215942,-0.16391308367377863,-0.09875997378750058,-0.03392399332468047
0.2,arc,6260,3.0,0.6182966418398385,0.16298841455225754,0.10267722275779144,0.6009584664536741,-0.24549073174712163,-0.28589480278704,-0.2071219738103524,-0.1528331632528006,-0.18599535710730478,-0.11712946908118188,-0.029145785609096583
0.2,time,6260,3.0,0.5560750977710582,0.029514013426006958,0.006054467743523005,0.4797124600638978,-0.23861426938208408,-0.279635268219851,-0.1976470920003575,-0.1147172457978991,-0.14898071622396075,-0.07466274846720537,-0.036800227386374874
